p,rho,theta,lamda
-526.3157894736844,359.2951654821594,0.0,0.042105263157894736
-526.3157894736844,367.6234262244433,0.0,0.04736842105263158
-526.3157894736844,375.2589603287389,0.0,0.05263157894736842
-526.3157894736844,382.31930585027095,0.0,0.05789473684210526
-526.3157894736844,388.8936295175952,0.0,0.06315789473684211
-526.3157894736844,395.05128853689376,0.0,0.06842105263157895
-526.3157894736844,400.8473672055878,0.0,0.07368421052631578
-526.3157894736844,406.32639193205836,0.0,0.07894736842105263
-526.3157894736844,411.52490266198544,0.0,0.08421052631578947
-526.3157894736844,416.47328059145343,0.0,0.08947368421052632
-526.3157894736844,421.1970773849357,0.0,0.09473684210526316
-526.3157894736844,425.7180013957042,0.0,0.1
-315.78947368421063,176.7766952966369,0.0,0.0
-315.78947368421063,245.92423526717292,0.0,0.005263157894736842
-315.78947368421063,276.8502352251931,0.0,0.010526315789473684
-315.78947368421063,298.0809649567539,0.0,0.015789473684210527
-315.78947368421063,314.56777484480125,0.0,0.021052631578947368
-315.78947368421063,328.18376667028747,0.0,0.02631578947368421
-315.78947368421063,339.85557600093523,0.0,0.031578947368421054
-315.78947368421063,350.1144241730989,0.0,0.03684210526315789
-315.78947368421063,359.2951654821594,0.0,0.042105263157894736
-315.78947368421063,367.6234262244432,0.0,0.04736842105263158
-315.78947368421063,375.258960328739,0.0,0.05263157894736842
-315.78947368421063,382.31930585027106,0.0,0.05789473684210526
-315.78947368421063,388.89362951759506,0.0,0.06315789473684211
-315.78947368421063,395.0512885368937,0.0,0.06842105263157895
-315.78947368421063,400.8473672055878,0.0,0.07368421052631578
-315.78947368421063,406.32639193205847,0.0,0.07894736842105263
-315.78947368421063,411.52490266198555,0.0,0.08421052631578947
-315.78947368421063,416.47328059145343,0.0,0.08947368421052632
-315.78947368421063,421.1970773849356,0.0,0.09473684210526316
-315.78947368421063,425.7180013957041,0.0,0.1
-105.26315789473688,176.77669529663686,0.0,0.0
-105.26315789473688,245.92423526717292,0.0,0.005263157894736842
-105.26315789473688,276.8502352251931,0.0,0.010526315789473684
-105.26315789473688,298.08096495675403,0.0,0.015789473684210527
-105.26315789473688,314.56777484480136,0.0,0.021052631578947368
-105.26315789473688,328.18376667028747,0.0,0.02631578947368421
-105.26315789473688,339.85557600093523,0.0,0.031578947368421054
-105.26315789473688,350.1144241730988,0.0,0.03684210526315789
