train_loss,valid_loss
1.5166856113928874e-06,6.325988625614324e-09
1.4861368586468396e-06,1.2543275731028794e-08
1.4732193388740692e-06,1.0808623297104229e-07
1.4762165742856345e-06,1.1411028882624426e-06
1.5864980384628542e-06,1.461137051374332e-08
1.417585819241296e-06,1.8365110727245336e-07
1.500844265423614e-06,6.337331501526933e-07
1.4529353492460947e-06,8.459265777977028e-07
1.4886442229649077e-06,1.6658969758888512e-07
1.5520931095744336e-06,1.9129540409418647e-07
1.2245030690535212e-06,5.295278471506511e-06
1.3100181316213859e-06,1.554855886979567e-07
1.3197729184572183e-06,2.9108519486423272e-06
1.3619964385293078e-06,3.3985685129967654e-07
1.2381282841334477e-06,2.1538395474181016e-07
1.4007000224806868e-06,6.8813200104026846e-09
1.348646905337129e-06,1.0127443678698001e-08
1.2542752754062766e-06,1.7526857500342885e-06
1.296626588243536e-06,1.604123732287614e-08
1.3668483507371338e-06,2.4695385086677865e-08
1.2396560614223043e-06,1.0677399852738744e-07
1.3115491194983047e-06,1.8221255068813966e-08
1.1678908672725067e-06,1.4517857670095206e-06
1.1000230678095117e-06,1.6299300578642335e-07
1.1811601570371977e-06,3.5118819861660694e-08
1.154789961647751e-06,1.9714384144511616e-06
1.1668388266629155e-06,3.224907859112136e-06
1.150870664878667e-06,5.397367729165126e-06
1.1512106176911155e-06,5.918887054879936e-07
1.1991825551709448e-06,1.0242485827423783e-08
1.1962926192785753e-06,5.523174434832375e-07
1.1056402141972418e-06,6.417989311254738e-07
1.1757327122722926e-06,4.070567197326606e-09
1.1607941107117861e-06,1.1129864843439919e-08
1.1237629227768054e-06,3.6563310563527315e-08
9.993962585081561e-07,4.3776941864052785e-06
9.931265980061592e-07,3.022682199298288e-06
1.0337133363146122e-06,7.208718657542097e-07
1.056448823845102e-06,1.1207045023790367e-07
1.011375812193312e-06,3.397190770139484e-08
1.0012565268461653e-06,6.969707037569606e-07
1.0637745038906132e-06,7.73925921701372e-09
1.0453379088120349e-06,1.730659784710345e-05
9.652477013265325e-07,1.1151876894170225e-06
1.0535174344892558e-06,7.715399188782613e-07
1.007163080326734e-06,1.3758300732661155e-06
1.0626528159850325e-06,4.587718743209735e-09
1.0331855782370169e-06,5.018508017656131e-07
1.0067934475271657e-06,3.5118430023430846e-07
1.0242328563596932e-06,1.401990965935814e-07
1.0506122630149644e-06,1.646146350727425e-08
1.001434821118726e-06,1.443234126270454e-08
9.760613194643496e-07,1.3243856041829833e-08
9.914130638308667e-07,6.735299833167118e-08
9.965029214748473e-07,2.704409430407395e-07
8.546735732553638e-07,1.4115758436143248e-08
