train_loss,valid_loss
1.9099459478136777e-06,6.772957082284847e-06
1.792162324206951e-06,1.1290587840827963e-07
1.9562236297237707e-06,7.587360447303127e-09
1.8969217528374809e-06,2.5145852408362163e-07
1.8767421656778065e-06,7.979817177935426e-07
1.8137436720105408e-06,9.386705103679561e-07
1.8948053286287347e-06,3.133992270818453e-08
1.8066721938408155e-06,4.0403433354185835e-07
1.8912123297113225e-06,9.85434350440073e-09
1.861230001918083e-06,5.7525591955709386e-08
1.6785029738225414e-06,1.0600730051010032e-06
1.8333690726864896e-06,1.0317190470724806e-08
1.7522819524105652e-06,4.60319526503857e-07
1.8542705863334656e-06,9.897153385433436e-09
1.7930967125482293e-06,5.8002371186679134e-08
1.7170744918459491e-06,2.0317284042145426e-07
2.0848059070473825e-06,3.409552719555601e-07
1.5778102564297569e-06,1.5246958018148386e-08
1.7469177355477447e-06,5.979641917898941e-06
1.7148817030645821e-06,6.287482553185935e-08
1.703311959446315e-06,2.830941081356286e-07
1.9064559345652061e-06,6.693087251430067e-07
1.6218369253448846e-06,9.716328739159508e-07
1.749644035285769e-06,7.978326519264555e-09
1.6549566712652582e-06,3.187357410752156e-08
1.8120192610818245e-06,1.852638513734443e-08
1.5972482787484901e-06,1.2884385709791482e-06
1.7565233896057464e-06,3.653787316200881e-08
1.7015434248303762e-06,1.120830564644848e-08
1.5946263676744601e-06,1.2027848241208025e-07
1.4238296443870979e-06,7.375936799765744e-08
1.5138879987055987e-06,1.1866066849582543e-08
1.471390357026081e-06,2.8417453967222172e-08
1.5080139914272668e-06,1.608681388097466e-06
1.5497020682156896e-06,1.188406462470463e-08
1.461098121725494e-06,1.3643634202556617e-07
1.6205774460549567e-06,1.4981832768512504e-08
1.4196126419964372e-06,1.4576128533614488e-06
1.5929690221413513e-06,1.7606973269721494e-07
1.412375233157211e-06,1.368895364398289e-08
1.4127178229362159e-06,2.2149609081528374e-07
1.5440257254441055e-06,4.280849966894114e-09
1.5762753476535589e-06,1.1836690467437923e-06
1.3760487442753563e-06,5.243220760348777e-07
1.502154295947496e-06,2.1089638712131396e-08
1.5434692523323672e-06,2.9208731343525565e-08
1.3504199681636445e-06,5.171525335375312e-09
1.5334144585041307e-06,7.96796789442548e-07
1.4344939852491004e-06,2.0316102338256313e-06
1.4429695273285858e-06,4.439932848564846e-08
1.3733009575706963e-06,6.1493468136177395e-06
1.5076502988963607e-06,1.1209637979845867e-06
1.346533327346459e-06,9.228286483448755e-07
1.455335778321872e-06,3.7811614747624844e-06
1.482707033690763e-06,1.7267091871531192e-08
1.3450443347462482e-06,1.8492882491235227e-08
1.4467338115516999e-06,6.6726345108255225e-09
1.4157608917614085e-06,2.538132376866997e-06
1.4538079419033067e-06,2.988678071247364e-09
1.4756736431523384e-06,4.4736209802067607e-07
1.3650807485102945e-06,3.520838057132399e-09
1.3422605988764028e-06,2.2961149291707745e-08
1.4246205218176063e-06,2.9507562048820545e-06
1.3799460835605496e-06,6.0107009079123e-07
1.4012063716338711e-06,2.483529827410772e-07
1.4177673420498137e-06,3.6170445875190654e-09
1.315735601689975e-06,1.3264502102780777e-06
1.4347861916694646e-06,2.1881591168494195e-06
1.350545450156678e-06,3.5259521397771704e-08
1.3751786103767928e-06,5.144741912954487e-06
1.3937158292596527e-06,6.502323467098373e-09
1.416790930419746e-06,7.356671940215164e-08
1.3181808464339658e-06,1.0018301082463191e-08
1.3480963376110822e-06,6.472736527787977e-08
1.419744848045627e-06,1.2467756853122106e-08
1.3147117062141926e-06,2.081306937498084e-07
1.3146541231362126e-06,3.6258794457050196e-06
1.3995066702682616e-06,5.017285732871339e-07
1.3605279470567667e-06,4.117350102994048e-06
1.369569750415008e-06,1.3311095242822073e-08
1.3400826378883105e-06,1.1575795351366955e-08
1.3451637537543821e-06,1.4995768839677718e-07
1.2613459310458096e-06,2.6690287257527717e-07
1.371971072358491e-06,3.0167149120643446e-07
1.400267535091615e-06,6.677550407137763e-09
1.2555822975269137e-06,2.193293790818037e-06
1.3204411773397003e-06,5.452261796676794e-08
1.3051396124434215e-06,3.589915524450286e-06
1.3596849339650773e-06,9.526973216130349e-09
1.2730597256515115e-06,4.3998775204272536e-07
1.3331443174665243e-06,7.476174937200615e-09
1.2832876596630645e-06,2.8346329227133536e-07
1.2377802767630304e-06,7.871699137467658e-07
1.2805775704358406e-06,2.2288960750908396e-07
1.5062468477376948e-06,9.247545485872404e-09
1.0827395012981355e-06,7.415037581874155e-08
1.3083782005352873e-06,3.606978210276187e-09
1.2996639078773835e-06,8.731348796876166e-07
1.3110194800803516e-06,4.4511957285067184e-07
1.188919144371899e-06,2.7343131529041406e-09
1.3101271828771743e-06,2.1875429800275013e-06
1.216594761769348e-06,5.079005977677298e-07
1.2664937320013317e-06,5.806000898398149e-07
1.258004800140237e-06,3.8399236773936235e-06
1.2545885394692629e-06,1.2272217438294319e-06
1.2274875615937949e-06,1.735200332329138e-07
1.2084548909813957e-06,1.919218388502486e-06
1.1032903793491163e-06,5.268536488500786e-09
1.097152435697879e-06,2.411003755658688e-08
1.1293558108834034e-06,8.354826713722712e-09
1.1036083215785198e-06,1.8173473083038516e-08
